raw_source_url,raw_title,is_allegation,market_question,ts_lower,ts_upper,size_usd_approx,wallet_addr,direction,outcome_resolved,confidence_tier,quote,reasoning
https://www.npr.org/2026/01/05/nx-s1-5667232/polymarket-maduro-bet-insider-trading,NPR: $400K Maduro Polymarket bet,True,Will Nicolás Maduro be toppled/captured by the end of January?,2025-12-27T00:00:00Z,2026-01-04T00:00:00Z,32000.0,,YES,YES,T1,"a user wagered $32,000 that Maduro would be toppled by the end of January hours before Trump ordered the operation. When it was clear the U.S. had captured Maduro, the trader made more than $400,000 in profit.","NPR is a high-credibility outlet explicitly identifying a specific trade — $32,000 wagered hours before the Maduro capture operation, yielding $400,000 profit — with a named Polymarket account ('Burdensome-Mix') and framing it as a credible insider trading allegation involving potential access to classified government deliberations."
https://fortune.com/2026/01/05/polymarket-user-400k-maduro-capture-bets-insider-trading-suspicion/,Fortune: Polymarket user made $400K+ on Maduro capture,True,"Will Maduro exit office / be captured by January 31, 2026?",2026-01-02T00:00:00Z,2026-01-04T00:00:00Z,30000.0,,YES,YES,T1,"one Polymarket account invested over $30,000 on Maduro's exit by Jan. 31, 2026... the user netted $436,759.61... The account was created less than a week before Maduro's capture and only made bets associated with Maduro's exit and the U.S. going to war with Venezuela, including within a day of his arrest.","Fortune, a high-credibility outlet, explicitly identifies a specific Polymarket account that placed a $30,000+ bet on Maduro's capture within 24 hours of the U.S. military action, netting over $400K profit, with the account created less than a week before the event — meeting the threshold for a T1 insider-trading allegation with concrete trade size, market, and timing details."
https://fortune.com/2026/01/12/polymarket-kalshi-insider-trading-prediction-markets-cftc-torres-titus-venezuela/,Fortune: Anonymous Polymarket trader made $400K on Maduro,True,Will Nicolás Maduro leave office before the end of January?,2024-12-27T00:00:00Z,2025-01-03T00:00:00Z,400000.0,,YES,YES,T1,"The user, Burdensome-Mix, had become the largest holder of 'yes' contracts for the event—which paid out in the event Maduro was toppled before the end of January—well before the news of the raid reached the public. The user ended up making over $400,000 from the well-timed trade.","Fortune, a high-credibility outlet, explicitly identifies a specific Polymarket user (Burdensome-Mix) who created their account a week before the event, took a large YES position on Maduro leaving office before news of the U.S. raid became public, and profited over $400,000—meeting the T1 threshold of a journalist identifying a specific trade with named account, market, timing, direction, and size."
https://www.cnn.com/2026/03/30/politics/prediction-markets-justice-department,CNN: Federal prosecutors exploring insider-trade laws on prediction markets,True,Will Nicolás Maduro be captured? / Timing of capture of Venezuelan leader Nicolás Maduro,,2026-03-30T14:30:00Z,,,YES,,T1,"Prosecutors are investigating lucrative trades, including the timing of the capture of Venezuelan leader Nicolás Maduro, one source said.","CNN, a high-credibility outlet, explicitly reports that federal prosecutors in SDNY are investigating specific prediction market bets — including trades on the timing of Maduro's capture — for potential insider trading violations, satisfying T1 criteria with a named market and documented prosecutorial scrutiny."
https://www.aljazeera.com/news/2026/3/25/large-polymarket-wall-street-bets-on-trumps-war-news-under-scrutiny,Al Jazeera: Polymarket + Wall Street bets on Trump war news,True,Will there be a US-Israeli strike on Iran by February 28?,2026-02-22T00:00:00Z,2026-02-27T12:00:00Z,2000000.0,,YES,YES,T1,38 accounts that he believes belong to one person and netted more than $2m betting correctly on the February 28 strikes...the user began preparing accounts with cryptocurrency transfers on February 22 before bets were placed on February 27 between 11:00 and 12:00 GMT,"Al Jazeera, a high-credibility outlet, cites on-chain analyst Andrew 10 GWEI's documented research identifying 38 wallet-split accounts that placed ~$2M in coordinated bets on the February 28 Iran strikes just hours before they occurred, with accounts pre-staged days earlier — satisfying criteria for a T1 allegation with concrete size, timing, and behavioral pattern (wallet splitting, fresh accounts)."
https://qz.com/polymarket-iran-strike-insider-bet-prediction-markets,Quartz: Polymarket Iran strike insider bet,True,Will the U.S. strike Iran?,2025-03-24 00:00:00,2025-03-25 00:00:00,87000.0,,YES,YES,T1,"An account called 'Magamyman' placed an $87,000 bet on U.S. strikes against Iran roughly 71 minutes before news of the attacks broke publicly. The odds at the time sat at 17%. By the time the smoke cleared over Tehran, the position had turned into more than $553,000.","A Quartz journalist explicitly identifies a named account ('Magamyman'), a specific trade size ($87,000 returning $553,000), timing (71 minutes before public news), and notes at least five additional suspicious accounts flagged by blockchain analytics firm Bubblemaps, meeting T1 criteria for a high-credibility outlet identifying a specific trade."
https://time.com/article/2026/04/10/white-house-oil-prediction-markets-polymarket-bets-insider-trading-war/,TIME: White House warns staff about prediction-market insider trading,True,Will the U.S. and Iran agree to a cease-fire?,2026-04-07T00:00:00Z,2026-04-07T23:30:00Z,,,YES,YES,T1,"On April 7, at least 50 newly created Polymarket accounts placed substantial bets that the U.S. and Iran would agree to a cease-fire shortly before Trump announced the deal on Truth Social at around 6:30 p.m. E.T. The bets, which generated hundreds of thousands of dollars in profit","A TIME journalist (T1 outlet) citing Bloomberg and Senate letters documents at least 50 newly created Polymarket accounts placing substantial YES bets on a U.S.-Iran cease-fire shortly before Trump publicly announced the deal, generating hundreds of thousands in profit — meeting the criteria of concrete suspicious trades with market, approximate timing, and direction specified."
https://www.bitget.com/amp/news/detail/12560605226286,Bitget: Whale wallets raise insider trading doubts after Axiom probe,True,Will Axiom [related Polymarket contract] resolve YES?,2024-01-01T00:00:00Z,2025-02-27T17:21:00Z,1200000.0,,YES,,T2,"eight of the ten most profitable wallets could have benefited from insider knowledge... three wallets in particular that exclusively traded on this single market, each making over $100,000... The eight addresses with the largest profits amassed $1.2 million","Blockchain researcher Defioasis and ZachXBT both identified specific wallets with suspicious exclusive trading on a single Polymarket contract tied to Axiom, with named individuals (Broox Bauer) allegedly using confidential information, providing multi-source corroboration of a concrete insider trading allegation."
https://newrepublic.com/post/204885/insider-trading-trump-attack-venezuela-maduro-polymarket,New Republic: Was someone insider trading before Trump's Venezuela attack?,True,Will the U.S. militarily intervene in Venezuela by January 31?,2024-12-27T00:00:00Z,2025-01-03T06:00:00Z,35000.0,,YES,YES,T1,"The account, which was created on December 27, has only bet on two things: the U.S. invading Venezuela, and its president, Nicolás Maduro, being forced out of leadership by January 31. The user bet $35,000 when the market estimated the probability of intervention in Venezuela at only 6 percent... they made over $400,000 in less than a day.","The New Republic, a credible journalistic outlet, reports a specific new Polymarket account created December 27 that placed a $35,000 bet on U.S. intervention in Venezuela at 6% odds, winning over $400,000 just before Trump's announced strikes — meeting the threshold for a T1 allegation with concrete trade size, market, timing, and suspicious account creation date."
https://markets.financialcontent.com/stocks/article/predictstreet-2026-2-5-the-maduro-whale-inside-the-400000-trade-that-sparked-a-washington-firestorm,"PredictStreet: The Maduro Whale, inside the $400K trade",True,"Will Nicolás Maduro be out of power by January 31, 2026?",2026-01-03 00:00:00Z,2026-01-03 04:21:00Z,32537.0,,YES,YES,T1,"An account using the handle 'Burdensome-Mix' began vacuuming up 'Yes' shares. According to on-chain data, the user deployed approximately $32,537 across several hours... realizing a profit of over $403,000—a staggering 1,240% return on investment in under 24 hours.","A named journalist/outlet (PredictStreet) citing on-chain data identifies a specific trader handle ('Burdensome-Mix'), trade size (~$32,537 deployed), direction (YES), timing (hours before Trump's 4:21 AM EST announcement on Jan 3 2026), and profit ($403K), explicitly alleging the trader had non-public knowledge of 'Operation Absolute Resolve' before it was publicly announced."
https://markets.financialcontent.com/stocks/article/predictstreet-2026-1-17-the-400000-maduro-snatch-and-extract-payout-prediction-markets-face-an-existential-insider-trading-crisis,PredictStreet: $400K Maduro snatch-and-extract payout,True,Maduro out of power by January 31 (2026),2026-01-02 21:00:00,2026-01-03 03:00:00,32000.0,,YES,YES,T1,"Just hours before the first official confirmation of the raid hit the news wires, an anonymous trader on Polymarket placed a series of aggressive bets totaling $32,000 on Maduro's departure. When the dust settled, that trader walked away with over $400,000","A named journalist/outlet (PredictStreet) explicitly identifies a specific anonymous trader, trade size ($32,000 in), payout ($400,000+), market, and timing (hours before Operation Absolute Resolve became public), constituting a concrete T1-level allegation of trading on non-public classified military intelligence."
https://markets.financialcontent.com/stocks/article/predictstreet-2026-1-14-the-400000-shadow-bet-how-a-timely-wager-on-maduros-downfall-ignited-an-insider-trading-firestorm,PredictStreet: $400K shadow bet on Maduro,True,"Will Nicolás Maduro be out of power by January 31, 2026?",2025-12-31T00:00:00Z,2026-01-03T09:21:00Z,34000.0,,YES,YES,T1,"Just hours before the first Delta Force boots hit the ground in Caracas, an anonymous user liquidated a massive position, turning a $34,000 wager into a staggering $436,000 windfall... a newly created account under the handle 'Burdensome-Mix' began aggressively buying 'Yes' shares.","A named journalist/outlet (PredictStreet via FinancialContent) identifies a specific wallet handle ('Burdensome-Mix'), trade size ($34K in, $436K out), market, and timing (hours before Operation Absolute Resolve on Jan 3, 2026), explicitly alleging the trader had access to classified military intelligence — meeting T1 criteria for a specific, sourced allegation."
https://igamingbusiness.com/legal-compliance/maduro-trade-triggers-bill-on-insider-trading-safeguards/,iGB: Maduro trade triggers bill on insider trading safeguards,True,Will Nicolás Maduro be removed from power by January 31?,2024-12-27T00:00:00Z,2025-01-05T12:00:00Z,34000.0,,YES,YES,T1,"The unidentified trader on Polymarket invested more than $34,000 on a series of event contracts predicting Maduro would be ousted by 31 January... the trader generated a return of $436,759.61... The final trade, with a probability below 10%, apparently occurred mere hours before US special forces removed Maduro","A journalist at iGB (trade publication) explicitly documents a specific Polymarket trader who made a series of trades starting December 27 predicting Maduro's removal, generating ~$437K profit from a ~$34K investment, with the final trade occurring hours before the event — framing it as a possible insider-trading case that triggered federal legislation."
https://finance.yahoo.com/news/polymarket-trader-makes-1-million-090001027.html,"Yahoo: Polymarket trader $1M on Google Search bets, insider fears",True,Will Google Search lose antitrust case / face related ruling?,,2024-12-05T16:00:00Z,1000000.0,,YES,,T1,"Polymarket Trader Makes $1 Million on Google Search Bets, Sparking Insider Trading Fears","A Yahoo Finance news article explicitly reports a trader made $1 million on Google Search-related Polymarket bets, with the headline directly referencing insider trading fears — meeting the threshold of a T1 journalist-identified specific trade allegation, though the market question and wallet details are not visible in the truncated body text."
https://www.inc.com/ava-levinson/polymarket-million-dollar-google-win-raises-questions/91274626,Inc: Polymarket $1M Google win raises insider questions,True,Google 2025 Year in Search rankings — most searched persons/outcomes (multiple markets),2024-12-03T00:00:00Z,2024-12-05T16:00:00Z,3900000.0,,YES,YES,T1,"Google accidentally pushed the results early, then removed them, but not before it revealed he went 22/23 on his bets and ballooned to $3.9 million in open positions… the same person made over $150,000 when he predicted the early release of Gemini 3.","Inc. (a named journalistic outlet) explicitly reports specific trades under the username AlphaRacoon, citing $3.9M in open positions and a $1M+ win on highly specific Google Year in Search outcomes, with a community allegation that the trader is a Google insider who accessed results before public release — satisfying criteria (a) and (b) with documented suspicious pattern."
https://gizmodo.com/polymarket-user-accused-of-1-million-insider-trade-on-google-search-markets-2000696258,Gizmodo: Polymarket user accused of $1M Google Search insider trade,True,"Google 2025 Year in Search rankings (multiple markets, e.g. 'Will d4vd top the most searched person list?')",2025-12-03T00:00:00Z,2025-12-04T23:59:00Z,1150000.0,,YES,YES,T1,"Blockchain records show the bets landed just before Google published the data related to these markets for the first time. Across 23 Google-related markets this time, the account hit 22 correct outcomes... a nearly 20x gain on predicting d4vd would be the most searched person of the year.","A journalist-published (Gizmodo/Forbes) report identifies a specific pseudonymous wallet 'AlphaRaccoon' making $1.15M profit across 23 Google Year in Search markets with blockchain-verified timing just before Google published results, constituting a T1 allegation with concrete trade size, market, timing, and direction details."
https://beincrypto.com/alleged-google-insider-trade-polymarket/,BeInCrypto: How an alleged Google insider made $1M on Polymarket,True,Google 2025 Year in Search rankings (multiple markets including most-searched person and related categories),2025-11-28T00:00:00Z,2025-12-05T16:00:00Z,3000000.0,,,YES,T2,"Public blockchain data shows the wallet deposited $3 million into Polymarket last Friday and immediately began placing large bets. The same account previously won over $150,000 by correctly predicting the exact Gemini 3.0 Flash release date.","A Meta engineer publicly identified wallet '0xafEe' (AlphaRaccoon) by name with on-chain data, citing a 22-of-23 win rate on Google search markets plus a prior $150K win on Gemini release timing, constituting multi-source community corroboration of a specific wallet, size, and pattern of alleged insider trading."
https://defirate.com/news/polymarket-trader-turned-10k-into-1m-google/,DeFi Rate: Polymarket trader turned $10K into $1M on Google,True,"Google 2025 Year in Search rankings (multiple markets, e.g. who will be #1, will specific celebrities place in top five)",2025-12-03T00:00:00Z,2025-12-04T23:59:00Z,1000000.0,,YES,YES,T2,"A Polymarket user known as AlphaRaccoon, walked away with over $1 million in profit in a single day…Google reportedly published the Year in Search data early by mistake, then pulled it down within minutes. Right before, AlphaRaccoon placed enormous positions across dozens of hyper-specific markets.","A named trader (AlphaRaccoon / @0xafEe) is alleged to have placed large, highly specific bets on Google Year in Search markets immediately after Google accidentally published the results early, going 22/23 correct and netting ~$1M — reported by a news outlet with corroborating community sources and on-chain evidence, meeting T2 criteria."
https://hoodline.com/2025/12/meta-engineer-claims-google-insider-used-early-search-data-in-1m-polymarket-plunder/,Hoodline: Meta engineer claims Google insider used early search data,True,#1 Searched Person on Google This Year (and related Google end-of-year search ranking markets),2025-11-04T00:00:00Z,2025-12-04T16:00:00Z,1000000.0,0xafEe,NO,YES,T2,"a tweet from New York–based Meta software engineer Haeju Jeong ... showed a 'Google insider has officially been exposed on Polymarket ... profited $1,000,000 in a single day betting on the Google search markets.' ... went 22/23 on his bets","A named, credentialed engineer publicly alleged a specific wallet (0xafEe / 'AlphaRaccoon') used early access to Google's unreleased search ranking data to make ~$1M across Google-themed Polymarket contracts, with corroborating community discussion, screenshots of the wallet's positions, and coverage by multiple outlets, meeting the T2 multi-source threshold."
